"Study ID","Author, Year (Study level)","Study Class","Study Publication Year","Treatment Focus (Study level)","Treatment Focus (Arm level)","Treatment Focus Subclass (Arm level)","Total N Randomized","Intervention Group","Arm N Randomized","Arm N Randomized Detail","Treatment Name","Standardized Treatment Name","Treatment Description","Psychotherapy","Psychotherapy Subclass","Pharmacotherapy","Pharmacotherapy Subclass","CIH","CIH Subclass","Nonpharmacologic Biologic","Nonpharmacologic Cognitive","Control","Other Study Class","Collaborative Care","Format","Delivery Method","Dose","Session Length","Frequency","Treatment Duration","Treatment Duration Detail","Completed Treatment Definition","Completed Treatment Percent","Completed Treatment Percent Detail","Participant Adherence Definition","Participants Adhered Percent","Participants Adhered Percent Detail","Psychotherapy Sessions Completed Mean","Psychotherapy Sessions Completed Standard deviation","Psychotherapy Sessions Completed Detail","Dose at Study End Point Mean","Dose at Study End Point Standard deviation","Dose at Study End Point Detail","Race/Ethnicity Reported (Study level)","Military Status (Study level)","Female Percent (Study level)","Trauma Type (Study level)","Trauma Detail (Study level)","Risk of Bias Rating (Study level)","Citation","PTSDpubs ID","Year Added to PTSD Repository"
"davidson2006b_C","davidson2006b","Pharmacotherapy","2006","PTSD","Inactive Control",,"538","C","179",,"Placebo","Placebo","Placebo","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Daily","12",,,,,,,,,,,,,,"Not reported","Community",,"Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")","High","Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.","28788","2019"
"davidson2007_A","davidson2007","Pharmacotherapy","2007","PTSD","PTSD",,"232","A","116",,"Tiagabine","Tiagabine","Anticonvulsant; during titration, doses were increased unless medication adverse events, not expected to increase efficacy, or not desired by the patient.","No",,"Yes","Mood Stabilizer","No",,"No","No","No","No","No","Individual","In Person","16 mg; titration: 4 mg/day for 1 week, individually titrated in up to 4 mg increments weekly to maximum of 16 mg, no dose increases after week 6",,"Twice daily","12",,,,,,,,,,,"11.2 mg/day",,,"Not reported","Community","66%","Mixed","rape/sexual assault, community/school violence, accidents, combat-related, natural or manmade disasters, other (non-specified)","High","Davidson JR, Brady K, Mellman TA, et al. The efficacy and tolerability of tiagabine in adult patients with post-traumatic stress disorder. J Clin Psychopharmacol. 2007 Feb;27(1):85-8. doi: 10.1097/JCP.0b013e31802e5115. PMID: 17224720.","29658","2019"
"davidson2007_B","davidson2007","Pharmacotherapy","2007","PTSD","Inactive Control",,"232","B","116",,"Placebo","Placebo","Placebo","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Twice daily","12",,,,,,,,,,,"11.8 mg/day equivalent",,,"Not reported","Community","66%","Mixed","rape/sexual assault, community/school violence, accidents, combat-related, natural or manmade disasters, other (non-specified)","High","Davidson JR, Brady K, Mellman TA, et al. The efficacy and tolerability of tiagabine in adult patients with post-traumatic stress disorder. J Clin Psychopharmacol. 2007 Feb;27(1):85-8. doi: 10.1097/JCP.0b013e31802e5115. PMID: 17224720.","29658","2019"
"davis2004_A","davis2004","Pharmacotherapy","2004","PTSD","PTSD",,"42","A","27",,"Nefazodone","Nefazodone","Phenylpiperazine derivative; presynaptic serotonin reuptake inhibitor, postsynaptic 5-hydroxytryptamine 2A receptor antagonist, with modest norepinephrine uptake inhibition","No",,"Yes","Antidepressant: Other","No",,"No","No","No","No","No","Individual","In Person","200 to 600 mg total daily dose; initial dose 200 mg titrated in increments of 100 mg every 4 days as tolerated to maximum therapeutic benefit, with a maximum dose of 600 mg",,"Twice daily","12",,,,,,,,,,,"435 mg/day",,,"Race data reported","Mixed","2.38%","Mixed","combat-related, rape/sexual assault","Some Concerns","Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.","26401","2019"
"davis2004_B","davis2004","Pharmacotherapy","2004","PTSD","Inactive Control",,"42","B","15",,"Placebo","Placebo","Look-a-like placebo capsules","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Twice daily","12",,,,,,,,,,,,,,"Race data reported","Mixed","2.38%","Mixed","combat-related, rape/sexual assault","Some Concerns","Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.","26401","2019"
"davis2008a_A","davis2008a","Pharmacotherapy","2008","PTSD","PTSD",,"36","A","18",,"Guanfacine","Guanfacine","Centrally-acting alpha-2 agonist; increased from 1 to 2 mg based on symptoms and side effects, as tolerated","No",,"Yes","Antiadrenergic","No",,"No","No","No","No","No","Individual","In Person","1 to 2 mg",,"Daily","8",,,,,,,,,,,"2 mg",,,"Race data reported","Veteran","5.71%","Combat-related",,"Some Concerns","Davis LL, Ward C, Rasmusson A, et al. A placebo-controlled trial of guanfacine for the treatment of posttraumatic stress disorder in veterans. Psychopharmacol Bull. 2008;41(1):8-18.  PMID: 18362867.","34102","2019"
"davis2008a_B","davis2008a","Pharmacotherapy","2008","PTSD","Inactive Control",,"36","B","18",,"Placebo","Placebo","Placebo intervention not described;  trial reported as double-blind","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Daily","8",,,,,,,,,,,,,,"Race data reported","Veteran","5.71%","Combat-related",,"Some Concerns","Davis LL, Ward C, Rasmusson A, et al. A placebo-controlled trial of guanfacine for the treatment of posttraumatic stress disorder in veterans. Psychopharmacol Bull. 2008;41(1):8-18.  PMID: 18362867.","34102","2019"
"davis2008b_A","davis2008b","Pharmacotherapy","2008","PTSD","PTSD",,"85","A","44",,"Divalproex","Divalproex","Increases GABA levels in brain; enteric-coated, delayed release; dose increased as tolerated to maximum benefit","No",,"Yes","Mood Stabilizer","No",,"No","No","No","No","No","Individual","In Person","1000 to 3000 mg total daily dose; titration: initial dose 500 mg twice a day, increased in 500-mg increments with maximum dose 3000 mg/day",,"Daily (2 divided doses)","8",,,,,"Blinded serum valproic acid morning trough levels",,"serum level 82.9 (30.1) mg/L at week 8 (authors conclude that ""compliance may have been variable"")",,,,"2309 mg daily","508",,"Not reported","Veteran","2.44%","Mixed","combat-related, other (non-specified)","Low","Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347","30463","2019"
"davis2008b_B","davis2008b","Pharmacotherapy","2008","PTSD","Inactive Control",,"85","B","44",,"Placebo","Placebo","Visually identical to divalproex tablets","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Twice daily","8",,,,,"Technician provided sham reports for morning trough levels for placebo group",,,,,,,,,"Not reported","Veteran","2.44%","Mixed","combat-related, other (non-specified)","Low","Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347","30463","2019"
"davis2018_A","davis2018","Psychotherapy & CIH","2018","PTSD","PTSD",,"214","A","107",,"MBSR","Mindfulness-based stress reduction (MBSR)","MBSR sessions included body scan meditation, sitting meditation, and mindful stretching. Six-hour retreat prior to week 6 included extended practices and mindful walking and eating. Participants given two guided meditation CDs to practice at home.","No",,"No",,"Yes","Meditation","No","No","No","No","No","Group","In Person",,"Sessions: 90 minutes; Retreat: 6 hours","Sessions: weekly; Retreat: once","8",,"completed all 8 sessions",,,,,,,,,,,,"Race data reported","Veteran","16.2%","Mixed","Combat-related; Rape/sexual assault; Other (noncombat military, civilian)","Some Concerns","Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..","51046","2020"
"davis2018_B","davis2018","Psychotherapy & CIH","2018","PTSD","Active Control",,"214","B","107",,"Present-centered group therapy","Present-Centered Therapy (PCT)","Therapy was psycho-educational and addressed symptoms of PTSD and the effects of PTSD on daily life. Allowed shared support and positive experiences with other veterans. The groups had a present focus that avoided discussion of traumas. Participants were assigned to keep a journal and had a lunch gathering to partially control for the MBSR retreat.","Yes","Non-Trauma-focused","No",,"No",,"No","No","Yes","No","No","Group","In Person",,"Sessions: 90 minutes; Lunch: 2 hours","Sessions: weekly; Lunch: once","8",,"completed all 8 sessions",,,,,,,,,,,,"Race data reported","Veteran","16.2%","Mixed","Combat-related; Rape/sexual assault; Other (noncombat military, civilian)","Some Concerns","Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..","51046","2020"
"davis2020a_A","davis2020a","Other mixed","2020","PTSD","PTSD",,"212","A","108",,"Holistic yoga program","Yoga","Yoga instruction including components of Hatha Yoga: postures (asanas), breathing practices (pranayama), and relaxation. Home practice support included instructional DVD and audio device, handout with figures depicting sequence of poses, and a yoga mat and eye pillow.","No",,"No",,"Yes","Yoga","No","No","No","No","No","Mixed","In Person",,"Session (class) length: 90 minutes","Weekly","16",,"Completed 8 or more sessions",,"also reports number that completed 7 or fewer sessions (n=44), and those that did not receive any yoga (n=10)",,,,,,,,,,"Race data reported","Mixed","34%","Mixed","MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)","High","Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.","1552693","2020"
"davis2020a_B","davis2020a","Other mixed","2020","PTSD","Active Control",,"212","B","101",,"Wellness lifestyle program","Wellness lifestyle program","Designed primarily as an attention control, but in order for the program to be perceived as a credible treatment, it matched the physical activity of the yoga program with low intensity walking in addition to didactics and discussion of wellness topics","No",,"No",,"No",,"No","No","Yes","Yes","No","Mixed","In Person",,"Session (class) length: 90 minutes","Weekly","16",,"Completed 8 or more sessions",,"flow diagram (supplemental materials); also reports number that completed 7 or fewer sessions (n=44), and those that did not receive any wellness sessions (n=10)",,,,,,,,,,"Race data reported","Mixed","34%","Mixed","MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)","High","Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.","1552693","2020"
"davis2020b_A","davis2020b","Pharmacotherapy","2020","PTSD","PTSD",,"78","A","39",,"Mirtazapine","Mirtazapine","Mirtazapine, minimum target dose 30 mg/day; initiated at 15 mg for one week, increased by 15 mg each week as tolerated to a maximum of 45 mg daily.","No",,"Yes","Other pharmacotherapy","No",,"No","No","No","No","No","Individual","In Person","Dose: 15 to 45 mg/day



Titration: initiated at 15 mg/day, increased weekly by 15 mg to maximum 45 mg/day; minimum target dose 30 mg/day",,"Daily","8",,,,,"compliance monitored by pill count",,,,,,"38.5 mg/day","10.5",,"Race and Ethnicity data reported","Veteran","6.4%","Mixed","Combat-related, Other (not specified)","Low","Davis LL, Pilkinton P, Lin C, et al. A randomized, placebo-controlled trial of mirtazapine for the treatment of posttraumatic stress disorder in veterans. J Clin Psychiatry. 2020 10 20;81(6):20. doi: 10.4088/JCP.20m13267. PMID: 33084254","1560536","2022"
"davis2020b_B","davis2020b","Pharmacotherapy","2020","PTSD","Inactive Control",,"78","B","39",,"Placebo","Placebo","Placebo matched in appearance and following same dosing (titration, maximum dosing) as mirtazapine","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Daily","8",,,,,"compliance monitored by pill count",,,,,,,,,"Race and Ethnicity data reported","Veteran","6.4%","Mixed","Combat-related, Other (not specified)","Low","Davis LL, Pilkinton P, Lin C, et al. A randomized, placebo-controlled trial of mirtazapine for the treatment of posttraumatic stress disorder in veterans. J Clin Psychiatry. 2020 10 20;81(6):20. doi: 10.4088/JCP.20m13267. PMID: 33084254","1560536","2022"
"davis2021_A","davis2021","Psychotherapy","2021","PTSD","PTSD",,"92","A","46","23 couples","Mindfulness-based CBCT","Cognitive Behavioral Conjoint Therapy (CBCT)","Manualized mindfulness-based adaptation of CBCT for couples, with Phases 1 and 2 given via multicouple group therapy during weekend retreats (7 sessions), followed by 9 individual couple sessions including Phase 3 of CBCT. Phases 1 and 2 include awareness training, and education about PTSD and relationships, communication, anger, conflict management, and approaching rather than avoiding trauma-related issues. Phase 3 facilitates making meaning of the trauma and challenging trauma-related cognitions. Mindfulness integrated throughout CBCT protocol.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Mixed","In Person",,"Phase 1 & 2: NR for sessions, 2 days for retreat



Post-retreat: 90 minutes (total 13.5 hours, 9 sessions)","Phase 1 & 2: 7 sessions over 2 days



Phase 3: weekly","10",,"completed treatment",,,,,,,,,,,,"Race data reported","Veteran","10.87%","Mixed","Combat-related; Other (TBI)","High","Davis LW, Luedtke BL, Monson C, et al. Testing adaptations of cognitive-behavioral conjoint therapy for PTSD: a randomized controlled pilot study with veterans. Couple Family Psychol. 2021 Jun;10(2):71-86. doi: 10.1037/cfp0000148.","1571223","2022"
"davis2021_B","davis2021","Psychotherapy","2021","PTSD","Active Control",,"92","B","46","23 couples","CBCT with communication skills training","Cognitive Behavioral Conjoint Therapy (CBCT)","Modified version of CBCT for couples, including communication skills training from Phases 1 and 2 given via multicouple group therapy during weekend retreats (7 sessions), followed by two more multicouple group sessions reviewing communication skills. No PTSD-specific or mindfulness interventions.","Yes","Non-Trauma-focused","No",,"No",,"No","No","Yes","No","No","Mixed","In Person",,"Phase 1 & 2: NR for sessions, 2 days for retreat



Follow-up sessions: 90 minutes","Phase 1 & 2: 7 sessions over 2 days



Follow-up: 2 sessions 1 month apart","8","retreat followed by 2 monthly sessions","completed treatment",,,,,,,,,,,,"Race data reported","Veteran","10.87%","Mixed","Combat-related; Other (TBI)","High","Davis LW, Luedtke BL, Monson C, et al. Testing adaptations of cognitive-behavioral conjoint therapy for PTSD: a randomized controlled pilot study with veterans. Couple Family Psychol. 2021 Jun;10(2):71-86. doi: 10.1037/cfp0000148.","1571223","2022"
"davis2024_A","davis2024","Pharmacotherapy","2024","PTSD","PTSD",,"416","A","214","n=148 in efficacy sample analyzed","Sertraline + brexpiprazole","Sertraline + brexpiprazole","One week placebo run-in period (placebo + placebo) followed by sertraline + brexpiprazole. 
Brexpiprazole: atypical antipscyhotic, flexibly dosed at 2-3 mg per day taken orally at same time as sertraline. Titration: week 1, 0.5 mg/day; week 2, 1.0 mg/day; week 3, 2 mg/day; week 4, option to stay at 2 mg/day or increase to 3 mg/day (both for remainder of trial) based on efficacy and tolerability; a one-time dose decrease to 2 mg/day was permissible up to the Week 6 visit.
Sertraline: SSRI, 150 mg per day taken orally at same time as brexpiprazole. Titration: week 1, 50 mg/day; week 2, 100 mg/day; week 3 on, 150 mg/day.
Washout for prohibited medications (including psychotropic agents) during screening period.","No",,"Yes","Other (atypical antipsychotic) + Antidepressant: SSRI","No",,"No","No","No","No","No","Individual","In Person","Brexpiprazole: 2 to 3 mg/day. Titration: week 1, 0.5 mg/day; week 2, 1.0 mg/day; week 3, 2 mg/day; week 4, option to stay at 2 mg/day or increase to 3 mg/day based on efficacy and tolerability
Sertraline: 150 mg/day. Titration: week 1, 50 mg/day; week 2, 100 mg/day; week 3 on, 150 mg/day.",,"Daily","9","Total treatment duration for evaluation of primary endpoint is 9 weeks (week 1 to week 10). Study duration total 12 weeks, includes 1 week placebo run-in, 9 weeks active treatment start to blinded endpoint, plus 2 weeks treatment from blinded endpoint to study end.",,,,,,,,,,"Brexpiprazole: 2.2 mg","Brexpiprazole: 0.6 mg","for n=205 treated","Race and Ethnicity data reported","Community","74.5%","Mixed","Rape/sexual assault; Accidents; Community/school violence; Other (exposure to sudden death; 'other')","Some Concerns","Davis LL, Behl S, Lee D, et al. Brexpiprazole and Sertraline Combination Treatment in Posttraumatic Stress Disorder: A Phase 3 Randomized Clinical Trial. JAMA Psychiatry. 2024 Dec 18;18:18. doi: 10.1001/jamapsychiatry.2024.3996. PMID: 39693081.","1643008","2025"
"davis2024_B","davis2024","Pharmacotherapy","2024","PTSD","Active Control",,"416","B","202","n=134 in efficacy sample analyzed","Sertraline + placebo","Sertraline + placebo","One week placebo run-in period (placebo + placebo) followed by sertraline + placebo. 
Placebo: matching placebo
Sertraline: SSRI, 150 mg per day taken orally at same time as brexpiprazole. Titration: week 1, 50 mg/day; week 2, 100 mg/day; week 3 on, 150 mg/day.
Washout for prohibited medications (including psychotropic agents) during screening period.","No",,"Yes","Antidepressant: SSRI","No",,"No","No","Yes","No","No","Individual","In Person","150 mg/day. Titration: week 1, 50 mg/day; week 2, 100 mg/day; week 3 on, 150 mg/day.",,"Daily","9","Total treatment duration for evaluation of primary endpoint is 9 weeks (week 1 to week 10). Study duration total 12 weeks, includes 1 week placebo run-in, 9 weeks active treatment start to blinded endpoint, plus 2 weeks treatment from blinded endpoint to study end.",,,,,,,,,,,,,"Race and Ethnicity data reported","Community","74.5%","Mixed","Rape/sexual assault; Accidents; Community/school violence; Other (exposure to sudden death; 'other')","Some Concerns","Davis LL, Behl S, Lee D, et al. Brexpiprazole and Sertraline Combination Treatment in Posttraumatic Stress Disorder: A Phase 3 Randomized Clinical Trial. JAMA Psychiatry. 2024 Dec 18;18:18. doi: 10.1001/jamapsychiatry.2024.3996. PMID: 39693081.","1643008","2025"
"davis2025_A","davis2025","Other study class","2025","PTSD+SUD","PTSD+SUD","Integrated","201","A","101",,"Mind Guide mindfulness app","Mindfulness","Mindfulness-based mobile application, expands Mindfulness Coach app by adding mindfulness-based relapse prevention content, for a total of 16 modules. App contains a self-guided training program with psychoeducation on topics related to mindfulness, audio-guided mindfulness exercises, self-assessments, journals, goal setting and customizable reminders, and access to support and crisis resources. Participants asked to complete 2 modules per week, and received text/email reminders to use the app every other week from the program coordinator.","No",,"No",,"No",,"No","No","No","Yes","No","Individual","Technology alone",,"ad libitum","ad libitum","8",,"Completing 75% or more of the modules",,"Also reports number completing different percentages of modules (less than 25% of modules, 25-49%, and 50-74% of modules) and average number of times participants logged into app",,,,,,,,,,"Race and Ethnicity data reported","Veteran","16.4%",,,"Some Concerns","Davis JP, Pedersen ER, Borsari B, Bowen S, Owen JE, Sedano A, Tran DD, Saba S, Fitzke RE, Delacruz J, Canning L. Effects of a mobile mindfulness smartphone app on posttraumatic stress disorder symptoms and alcohol use problems for veterans: A pilot randomized controlled trial. J Consult Clin Psychol. 2025 Feb;93(2):96-109. doi: 10.1037/ccp0000940. PMID: 39913485.","1644458","2025"
"davis2025_B","davis2025","Other study class","2025","PTSD+SUD","Active Control",,"201","B","100",,"Stress management program","Psychoeducation","Participants received stress management content, with no mindfulness components, via link sent weekly. Designed as an active control condition in mindfulness-based intervention trials. Content topics included effects of stress on physiology, sleep, and the immune system; psychoeducation for time management, nutrition, and developing an exercise routine.","No",,"No",,"No",,"No","No","Yes","Yes","No","Individual","Technology alone",,"ad libitum","ad libitum","8",,,,,,,,,,,,,,"Race and Ethnicity data reported","Veteran","16.4%",,,"Some Concerns","Davis JP, Pedersen ER, Borsari B, Bowen S, Owen JE, Sedano A, Tran DD, Saba S, Fitzke RE, Delacruz J, Canning L. Effects of a mobile mindfulness smartphone app on posttraumatic stress disorder symptoms and alcohol use problems for veterans: A pilot randomized controlled trial. J Consult Clin Psychol. 2025 Feb;93(2):96-109. doi: 10.1037/ccp0000940. PMID: 39913485.","1644458","2025"
"dawson2024_A","dawson2024","Psychotherapy","2024","PTSD","PTSD",,"83","A","28",,"Cognitive Reprocessing Writing","Trauma-focused psychotherapy","Trauma-focused writing using exposure and cognitive reprocessing, considered a form of tauma reprocessing. Participants instructed to write about the traumatic experience they felt was contributing the most to their current symptoms; some instructions adapted from 'Interapy' protocol. Sessions included check-in, 20 minutes of writing, and debrief; supportive nondirective counseling during check-in and debrief.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","Technology alone",,"Session 1: 60-90 minutes
Sessions 2-3: 40-60 minutes
Writing portion: 20 minutes each session","Weekly","3","3 sessions total","Completed all treatment sessions",,"did not drop out before or during intervention",,,,,,"Gives number that dropped out prior to given session numbers, but for overall sample only (not by arm)",,,,"Not Reported","Community","86.75%","Mixed","Accidents; Combat-related; Community/school violence; Illness/medical procedure; Intimate partner violence; Natural or manmade disasters;  Rape/sexual assault; Other (""war zone"", child abuse [not further specified], ""vicarious trauma"", ""witnessing traumatic death of other/tramatic loss"", ""adoption trauma"", ""other"")","Some Concerns","Dawson RL, Nixon RDV, Calear AL, Sivanathan D, O'Kearney R. Efficacy of two brief trauma-focussed writing interventions in comparison to positive experiences writing: A randomized controlled trial. J Affect Disord. 2024 Aug 1;358:449-457. doi: 10.1016/j.jad.2024.05.014. Epub 2024 May 10. PMID: 38734242.","1634790","2025"
"dawson2024_B","dawson2024","Psychotherapy","2024","PTSD","PTSD",,"83","B","28",,"Written Recounting","Written narrative exposure","Trauma-focused writing, with instructions adapted from disclosure and written exposure therapy protocols, theorized to be a form of repeated exposure to the trauma. Participants instructed to write in depth about their thoughts, feelings and sensations related to a traumatic event that they felt  contributed the most to current symptoms. Sessions included check-in, 20 minutes of writing, and debrief; supportive nondirective counseling during check-in and debrief.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","Technology alone",,"Session 1: 60-90 minutes
Sessions 2-3: 40-60 minutes
Writing portion: 20 minutes each session","Weekly","3","3 sessions total","Completed all treatment sessions",,"did not drop out before or during intervention",,,,,,"Gives number that dropped out prior to given session numbers, but for overall sample only (not by arm)",,,,"Not Reported","Community","86.75%","Mixed","Accidents; Combat-related; Community/school violence; Illness/medical procedure; Intimate partner violence; Natural or manmade disasters;  Rape/sexual assault; Other (""war zone"", child abuse [not further specified], ""vicarious trauma"", ""witnessing traumatic death of other/tramatic loss"", ""adoption trauma"", ""other"")","Some Concerns","Dawson RL, Nixon RDV, Calear AL, Sivanathan D, O'Kearney R. Efficacy of two brief trauma-focussed writing interventions in comparison to positive experiences writing: A randomized controlled trial. J Affect Disord. 2024 Aug 1;358:449-457. doi: 10.1016/j.jad.2024.05.014. Epub 2024 May 10. PMID: 38734242.","1634790","2025"
"dawson2024_C","dawson2024","Psychotherapy","2024","PTSD","Active Control",,"83","C","27",,"Positive Experience Writing","Control writing","Non-trauma focused writing. Participants instructed to write in depth about a past positive experience, and encouraged to imagine themselves in the event and to reexperience the thoughts and feelings that occurred during the event; instructions from Intensely Positive Experiences writing protocol. Participants given the same instructions given each session. Sessions included check-in, 20 minutes of writing, and debrief; supportive nondirective counseling during check-in and debrief.","Yes","Non-Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","Technology alone",,"Session 1: 60-90 minutes
Sessions 2-3: 40-60 minutes
Writing portion: 20 minutes each session","Weekly","3","3 sessions total","Completed all treatment sessions",,"did not drop out before or during intervention",,,,,,"Gives number that dropped out prior to given session numbers, but for overall sample only (not by arm)",,,,"Not Reported","Community","86.75%","Mixed","Accidents; Combat-related; Community/school violence; Illness/medical procedure; Intimate partner violence; Natural or manmade disasters;  Rape/sexual assault; Other (""war zone"", child abuse [not further specified], ""vicarious trauma"", ""witnessing traumatic death of other/tramatic loss"", ""adoption trauma"", ""other"")","Some Concerns","Dawson RL, Nixon RDV, Calear AL, Sivanathan D, O'Kearney R. Efficacy of two brief trauma-focussed writing interventions in comparison to positive experiences writing: A randomized controlled trial. J Affect Disord. 2024 Aug 1;358:449-457. doi: 10.1016/j.jad.2024.05.014. Epub 2024 May 10. PMID: 38734242.","1634790","2025"
"decker2018_A","decker2018","Psychotherapy & CIH","2018","PTSD","PTSD",,"38","A","19",,"Art therapy + CPT","Art therapy + Cognitive Processing Therapy (CPT)","Concurrent individual CPT and art therapy.
CPT: sessions 1 through 8 of manualized treatment (Resick, Monson, & Chard, 2007) ""designed to challenge negative cognitions associated with trauma"" .
Art therapy: followed protocol by Campbell (2014) and involving ""psychoeducation, goal setting, creating a sense of safety, creating and processing one’s visual trauma narrative, identifying and addressing symptoms and triggers, integrating the trauma with the rest of their experiences, identifying grief and loss caused by combat trauma, reconstructing worldviews and self-concept, and reviewing artworks and recovery-oriented goals... participants were given six directives to construct the visual trauma narrative: 1) Create an image of a time before the trauma that you felt peaceful and safe—a positive memory; 2) Create an image of the last moment you remember directly before the trauma; 3) Create an image of what happened during the trauma; 4) Create an image of a moment you can remember right after the trauma; 5) Create an image of a time when you were safe from the physical threats of war; 6) Create an image of a time when you tried to self-soothe.""","Yes","Trauma-focused","No",,"Yes","Creative therapies","No","No","No","No","No","Individual","In Person",,"60 minutes",,,"8 sessions CPT + 8 sessions art therapy","Did not discontinue intervention prematurely",,"flow diagram, also described as study completers",,,,,,,,,,"Race data reported","Veteran","3.23%","Combat-related",,"High","Decker KP, Deaver SP, Abbey V, et al. Quantitatively improved treatment outcomes for combat-associated PTSD with adjunctive art therapy: randomized controlled trial. Art Therapy. 2018;35(4):184-94. doi: 10.1080/07421656.2018.1540822.","1587975","2020"
"decker2018_B","decker2018","Psychotherapy & CIH","2018","PTSD","Active Control",,"38","B","19",,"Supportive psychotherapy + CPT","Supportive psychotherapy + Cognitive Processing Therapy (CPT)","Concurrent individual CPT and supportive psychotherapy.



CPT: sessions 1 through 8 of manualized treatment (Resick, Monson, & Chard, 2007) ""designed to challenge negative cognitions associated with trauma"".



Supportive psychotherapy: ""focused on present-centered concerns, with the goal of reinforcing healthy and adaptive patterns of thoughts and behaviors to reduce symptoms of PTSD and depression""","Yes","Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","In Person",,"60 minutes",,,"8 sessions CPT + 8 sessions supportive psychotherapy","Did not discontinue intervention prematurely",,"flow diagram, also described as study completers",,,,,,,,,,"Race data reported","Veteran","3.23%","Combat-related",,"High","Decker KP, Deaver SP, Abbey V, et al. Quantitatively improved treatment outcomes for combat-associated PTSD with adjunctive art therapy: randomized controlled trial. Art Therapy. 2018;35(4):184-94. doi: 10.1080/07421656.2018.1540822.","1587975","2020"
"dedert2019_A","dedert2019","Psychotherapy","2019","PTSD+SUD","PTSD+SUD","Integrated","40","A","15",,"CPT + smoking cessation","Cognitive Processing Therapy (CPT) + smoking cessation","Combined CPT and smoking cessation; ""smoking was conceptualized and integrated into treatment as an avoidance behavior that interferes with processing PTSD symptoms"". Participants taught to apply cognitive restructuring skills from CPT to smoking cessation. Smoking cessation content followed Integrated Care for Smoking Cessation treatment manual, and was identical to that of the Present-focused smoking cessation arm except for use of cognitive restructuring skills in the CPT arm.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"CPT: 60 minutes



Smoking cessation: 25 minutes","Twice a week","6",,"attended all 12 sessions",,,,,,,,,,,,"Race and Ethnicity data reported","Veteran","82.5%",,,"High","Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.","1556168","2020"
